site_name,habitat,priority
HI1261353,bull_kelp,3
HI1261353,seagrass,1
HI1972521,giant_kelp,2
HI1972521,seagrass,1
HI2305065,bull_kelp,3
HI2305065,seagrass,1
HI2367273,bull_kelp,3
HI2367273,giant_kelp,2
HI3723753,bull_kelp,3
HI3723753,giant_kelp,2
HI4319913,bull_kelp,3
HI4319913,seagrass,1
HI4662057,bull_kelp,3
HI4662057,giant_kelp,2
HI7248873,giant_kelp,2
HI7248873,seagrass,1
HI7411305,bull_kelp,3
HI7411305,seagrass,1
HI10208937,bull_kelp,3
HI10208937,seagrass,1
HI12019113,giant_kelp,2
HI12019113,seagrass,1
HI6057,low_rugosity,4
HI12969,bull_kelp,3
HI32733,high_rugosity,4
HI33501,low_rugosity,4
HI34569,seagrass,1
HI41481,unclassified,4
HI79401,low_rugosity,4
HI94941,low_rugosity,4
HI132969,low_rugosity,4
HI151005,low_rugosity,4
HI236649,low_rugosity,4
HI313209,unclassified,4
HI317865,unclassified,4
HI342153,bull_kelp,3
HI399609,bull_kelp,3
HI437625,unclassified,4
HI450057,unclassified,4
HI466569,seagrass,1
HI468729,seagrass,1
HI476073,low_rugosity,4
HI529209,seagrass,1
HI545961,giant_kelp,2
HI596829,low_rugosity,4
HI618633,unclassified,4
HI635049,low_rugosity,4
HI669405,low_rugosity,4
HI683001,high_rugosity,4
HI684729,bull_kelp,3
HI702009,unclassified,4
HI703209,low_rugosity,4
HI711081,low_rugosity,4
HI717561,high_rugosity,4
HI760329,seagrass,1
HI775737,unclassified,4
HI796473,unclassified,4
HI808713,bull_kelp,3
HI842205,low_rugosity,4
HI852777,bull_kelp,3
HI907641,seagrass,1
HI1008297,seagrass,1
HI1043625,bull_kelp,3
HI1043721,low_rugosity,4
HI1050633,low_rugosity,4
HI1056969,giant_kelp,2
HI1057977,bull_kelp,3
HI1066089,unclassified,4
HI1084125,low_rugosity,4
HI1147401,low_rugosity,4
HI1184553,unclassified,4
HI1230249,high_rugosity,4
HI1237113,unclassified,4
HI1305513,low_rugosity,4
HI1306809,unclassified,4
HI1325241,unclassified,4
HI1395165,low_rugosity,4
HI1400121,unclassified,4
HI1405305,unclassified,4
HI1427241,high_rugosity,4
HI1443321,seagrass,1
HI1525725,high_rugosity,4
HI1557801,bull_kelp,3
HI1558665,bull_kelp,3
HI1596681,low_rugosity,4
HI1648521,high_rugosity,4
HI1648953,low_rugosity,4
HI1710729,seagrass,1
HI1738377,bull_kelp,3
HI1743993,unclassified,4
HI1775529,low_rugosity,4
HI1776393,unclassified,4
HI1786617,low_rugosity,4
HI1789149,high_rugosity,4
HI1809885,giant_kelp,2
HI1900809,high_rugosity,4
HI1907721,high_rugosity,4
HI1924905,bull_kelp,3
HI1947465,unclassified,4
HI1976841,high_rugosity,4
HI1991097,unclassified,4
HI2013129,high_rugosity,4
HI2044665,unclassified,4
HI2065833,unclassified,4
HI2070585,unclassified,4
HI2071785,high_rugosity,4
HI2127081,low_rugosity,4
HI2128041,high_rugosity,4
HI2170377,bull_kelp,3
HI2189289,low_rugosity,4
HI2459613,high_rugosity,4
HI2466729,low_rugosity,4
HI2552697,low_rugosity,4
HI2562537,high_rugosity,4
HI2571705,unclassified,4
HI2650665,high_rugosity,4
HI2659401,seagrass,1
HI2737593,high_rugosity,4
HI2752137,high_rugosity,4
HI2805213,low_rugosity,4
HI2830473,unclassified,4
HI2882745,unclassified,4
HI2981241,unclassified,4
HI3016521,high_rugosity,4
HI3048633,unclassified,4
HI3109113,seagrass,1
HI3188601,seagrass,1
HI3203721,unclassified,4
HI3226617,high_rugosity,4
HI3296457,giant_kelp,2
HI3334953,giant_kelp,2
HI3366057,unclassified,4
HI3406557,giant_kelp,2
HI3533673,high_rugosity,4
HI3577401,unclassified,4
HI3931209,unclassified,4
HI3957033,high_rugosity,4
HI3970953,unclassified,4
HI3986505,unclassified,4
HI4002057,high_rugosity,4
HI4083273,unclassified,4
HI4091817,seagrass,1
HI4155753,bull_kelp,3
HI4180905,unclassified,4
HI4205865,bull_kelp,3
HI4249593,bull_kelp,3
HI4372281,unclassified,4
HI4475433,bull_kelp,3
HI4574889,seagrass,1
HI4653417,bull_kelp,3
HI4665609,unclassified,4
HI4694841,seagrass,1
HI4717449,seagrass,1
HI4719609,unclassified,4
HI4840041,bull_kelp,3
HI4865193,giant_kelp,2
HI4865913,high_rugosity,4
HI4899753,high_rugosity,4
HI4980009,bull_kelp,3
HI5072121,unclassified,4
HI5101065,bull_kelp,3
HI5114889,unclassified,4
HI5149353,giant_kelp,2
HI5157129,seagrass,1
HI5270265,high_rugosity,4
HI5320413,low_rugosity,4
HI5356713,bull_kelp,3
HI5694633,giant_kelp,2
HI5745513,high_rugosity,4
HI5835321,high_rugosity,4
HI5941305,unclassified,4
HI6091641,unclassified,4
HI6161193,giant_kelp,2
HI6179337,bull_kelp,3
HI6186249,unclassified,4
HI6214665,giant_kelp,2
HI6490377,seagrass,1
HI6715017,high_rugosity,4
HI6784041,bull_kelp,3
HI7118073,unclassified,4
HI7250697,giant_kelp,2
HI7455033,unclassified,4
HI7544361,bull_kelp,3
HI8054073,high_rugosity,4
HI8187177,high_rugosity,4
HI8307165,high_rugosity,4
HI8843913,seagrass,1
HI8999433,unclassified,4
HI9306921,high_rugosity,4
HI10138617,high_rugosity,4
HI10311645,giant_kelp,2
