site_name,habitat,priority
HI10508409,high_rugosity,4
HI10969785,high_rugosity,4
HI11100585,seagrass,1
HI11204265,giant_kelp,2
HI11380521,high_rugosity,4
HI11479977,high_rugosity,4
HI11676969,high_rugosity,4
HI11810793,giant_kelp,2
HI12149481,high_rugosity,4
HI12846393,high_rugosity,4
HI12921129,unclassified,4
HI13405833,high_rugosity,4
HI13967865,unclassified,4
HI14453001,seagrass,1
HI14456457,high_rugosity,4
HI14470185,high_rugosity,4
HI14522121,high_rugosity,4
HI14714793,seagrass,1
HI15863049,high_rugosity,4
HI15977097,seagrass,1
HI16955145,high_rugosity,4
HI17454969,high_rugosity,4
HI18568521,unclassified,4
HI20342025,bull_kelp,3
HI23562153,high_rugosity,4
McMullin,unclassified,4
Athabaskan,unclassified,4
Simonds,unclassified,4
Gosling,unclassified,4
Mercury,unclassified,4
Kelpie,unclassified,4
Odlum,unclassified,4
Starfish,unclassified,4
Thrasher,unclassified,4
Simonds,giant_kelp,2
Golden,giant_kelp,2
Stryker,giant_kelp,2
Triquet,giant_kelp,2
West Beach,giant_kelp,2
Meay,giant_kelp,2
Womanley,giant_kelp,2
North,bull_kelp,3
Second,bull_kelp,3
Manley,bull_kelp,3
Triquetta,bull_kelp,3
Triquet Bay,seagrass,1
CHP,seagrass,1
FAN1,seagrass,1
FAN3,seagrass,1
FEI3,seagrass,1
FEI4,seagrass,1
GOG1,seagrass,1
GOG4,seagrass,1
HAB2,unclassified,4
HAB4,unclassified,4
HDO,seagrass,1
KIS1,seagrass,1
KIS2,unclassified,4
KOE4,bull_kelp,3
PBA,seagrass,1
PPO,seagrass,1
RIS1,seagrass,1
RIS3,seagrass,1
SNI1,seagrass,1
SNI2,unclassified,4
SSP,seagrass,1
WFB,unclassified,4
